State ID,States,Programming Languages,Languages,Education,Visualizations,Packages and Libraries,Tools
7,Hesse,Python,English,Bachelor,,,Excel
7,Hesse,Python,English,Bachelor,,,Excel
7,Hesse,Python,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,SQL,English,,,,
7,Hesse,Java,English,,,,
7,Hesse,Java,English,,,,
7,Hesse,Java,English,,,,
7,Hesse,Java,English,,,,
7,Hesse,JavaScript,German,,,,
7,Hesse,Scala,German,,,,
7,Hesse,Scala,German,,,,
7,Hesse,Matlab,German,,,,
7,Hesse,Matlab,German,,,,
7,Hesse,SAS,German,,,,
7,Hesse,SAS,German,,,,
7,Hesse,Perl,German,,,,
7,Hesse,Perl,German,,,,
7,Hesse,VBA,German,,,,
7,Hesse,R,German,,,,
7,Hesse,R,German,,,,
7,Hesse,R,German,,,,
7,Hesse,R,German,,,,
7,Hesse,R,German,,,,
7,Hesse,R,German,,,,
7,Hesse,R,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,German,,,,
7,Hesse,,French,,,,
7,Hesse,,French,,,,
7,Hesse,,Danish,,,,
8,Lower Saxony,Python,English,Master,Tableau,,Google Analytics
8,Lower Saxony,Python,English,Bachelor,Tableau,,Google Analytics
8,Lower Saxony,Python,English,Bachelor,Tableau,,Google Analytics
8,Lower Saxony,Python,English,,Tableau,,Adobe Analytics
8,Lower Saxony,Python,English,,Tableau,,Excel
8,Lower Saxony,SQL,English,,Power BI,,Excel
8,Lower Saxony,SQL,English,,,,Excel
8,Lower Saxony,SQL,English,,,,Excel
8,Lower Saxony,SQL,English,,,,Excel
8,Lower Saxony,SQL,English,,,,Excel
8,Lower Saxony,SQL,English,,,,Excel
8,Lower Saxony,SQL,English,,,,
8,Lower Saxony,Java,English,,,,
8,Lower Saxony,JavaScript,English,,,,
8,Lower Saxony,JavaScript,English,,,,
8,Lower Saxony,R,English,,,,
8,Lower Saxony,R,English,,,,
8,Lower Saxony,,English,,,,
8,Lower Saxony,,English,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
8,Lower Saxony,,German,,,,
9,Mecklenburg-Vorpommern,Python,English,Master,Tableau,NumPy,PowerPoint
9,Mecklenburg-Vorpommern,Python,English,Bachelor,Tableau,SciPy,PowerPoint
9,Mecklenburg-Vorpommern,Python,English,Bachelor,Tableau,Pandas,PowerPoint
